,Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls,description
0,12 Exploration Inc.,TWLV,Mining,,,CAD,16-Jun-20,https://thecse.com/en/listings/mining/12-exploration-inc,"12 Exploration Inc. is led by a team with extensive mineral exploration expertise and a track record of discoveries and exits in South America and globally. Through its subsidiary, 79North (www.79north.ca), 12 Exploration Inc. holds an indirect interest in mineral concessions in northern Suriname (formerly Dutch Guiana), and aims to become the premier junior exploration company in this underexplored district of the prolific Guiana Shield. 12 Exploration Inc.’s growing portfolio of high-quality targets which have not undergone modern exploration or drilling have a long history of artisanal mining and are strategically located within close proximity to modern gold mines operated by major mining companies."
1,1933 Industries Inc.,TGIF,Diversified Industries,US Cannabis,CSE Composite,CAD,16-Jun-17,https://thecse.com/en/listings/diversified-industries/1933-industries-inc,"1933 Industries is a vertically-integrated, growth-orientated company, focusing on the cultivation and manufacturing of cannabis consumer branded goods in a wide range of product formats. Operating through two subsidiaries, the Company controls all aspects of the value chain with cultivation, extraction, processing, and manufacturing assets supporting its diversified portfolio of cannabis brands and licensing partners."
2,1933 Industries Inc. Wts.,TGIF.WT,Diversified Industries,US Cannabis,,CAD,14-Sep-18,https://thecse.com/en/listings/diversified-industries/1933-industries-inc-wts,
3,1933 Industries Inc.10% 14SEP21,TGIF.DB,Diversified Industries,US Cannabis,,CAD,14-Sep-18,https://thecse.com/en/listings/diversified-industries/1933-industries-inc10%-14sep21,
4,3 Sixty Risk Solutions Ltd.,SAFE,Diversified Industries,Cannabis,,CAD,08-Jan-19,https://thecse.com/en/listings/diversified-industries/3-sixty-risk-solutions-ltd,<strong>About 3 Sixty Risk Solutions Ltd. </strong>
5,37 Capital Inc.,JJJ.X,Mining,,,CAD,01-Sep-15,https://thecse.com/en/listings/mining/37-capital-inc,"The Exchange has determined that 37 Capital Inc. (the “Issuer”) has not met the continued listing requirements as set out in CSE Policy 2, Appendix A section 2.9."
6,4Front Ventures Corp.,FFNT,Life Sciences,US Cannabis,CSE Composite,CAD,06-Aug-19,https://thecse.com/en/listings/life-sciences/4front-ventures-corp,"4Front Ventures Corp. is a vertically-integrated cannabis company with cultivation, production and retail facilities spread across several states in the US"
7,66 Resources Inc.,SXX,Mining,,,CAD,28-Jun-18,https://thecse.com/en/listings/mining/66-resources-inc,"66 Resources Corp. is a B.C. company located in Vancouver, B.C. The Company has a board of four directors with experience in the management of companies listed on the CSE. The Company has an option to acquire the Champ Property consisting of four contiguous mineral claims totalling 1054.63 hectares located in the Nelson Mining Division."
8,Abattis Bioceuticals Corp.,ATT,Life Sciences,Cannabis,,CAD,01-Sep-15,https://thecse.com/en/listings/life-sciences/abattis-bioceuticals-corp,"
	Abattis Bioceuticals Corp. (the ""Company"" or ""Abattis"") (OTCQB: ATTBF) (CSE: ATT), specialty biotechnology company with capabilities through its wholly-owned subsidiaries as a botanical drug development company that develops and licenses natural health products, medicines, extractions and ingredients for the biologics, nutraceutical, bioceutical and cosmetic markets, some of which will contain cannabinoid compounds. Abattis develops and is in the process of commercializing natural health products that target ailments and satisfy important market needs. Abattis is conducting ongoing research and development to create plant-based intellectual property and ingredients. Current areas of focus are growth through acquisition and business development and cash flow through commercialization of existing assets. The Company has an extensive pipeline of high-quality products and intellectual property for the rapidly expanding botanical drug market. Abattis follows strict standard operating protocols, and adhere to the applicable laws of Canada and foreign jurisdictions. For more information, visit the Company's website at: www.abattis.com."
9,"Acreage Holdings, Inc.",ACRG.U,Life Sciences,US Cannabis,,USD,15-Nov-18,"https://thecse.com/en/listings/life-sciences/acreage-holdings,-inc",
10,Adastra Labs Holdings Ltd.,XTRX,Life Sciences,Cannabis,CSE Composite,CAD,06-Jan-20,https://thecse.com/en/listings/life-sciences/adastra-labs-holdings-ltd,"Adastra Labs Holdings Ltd. is comprised of Chemia Analytics Inc., a Health Canada licensed cannabis Analytical Testing Laboratory and Adastra Labs Inc. a late-stage Health Canada cannabis Standard Processing licence applicant co-located in a 13,000 sq ft facility in Langley, British Columbia, fully renovated to Good Manufacturing Practice standards.  Adastra is expected to receive its Standard Processing licence, Health Canada permitting, by Q1 2020 and will provide cannabis extraction and concentrates services and white label services to B2B customers as well as develop and market its own cannabis concentrate and extract products for Provincial B2C sale."
11,Advantagewon Oil Corp.,AOC,Oil and Gas,,,CAD,13-Jul-17,https://thecse.com/en/listings/oil-and-gas/advantagewon-oil-corp,"Advantagewon is focused on building consistent cash flow from low cost, low risk oil wells in Canada. AOC applies specialized expertise in oil pool development by development drilling, pressure restoration and maintenance using water and chemical injection to increase oil recovery from 10-15% to up to 75% for each pool. Once the enhanced recovery strategy is successfully applied, AOC will repeat the process throughout the oil pool to maximize output and minimize cost and risk. Advantagewon's common shares are listed on the OTC Markets in the United States and on the Canadian Securities Exchange (""CSE"") in Canada. Advantagewon is a member of the CSE Composite Index (CSE:AOC).  For more information please visit www.aoc-oil.com"
12,Advantex Marketing International Inc.,ADX,Diversified Industries,,,CAD,17-Sep-15,https://thecse.com/en/listings/diversified-industries/advantex-marketing-international-inc,<em>Advantex is a leader in the merchant cash advance and marketing services industry.</em>
13,"Aether Catalyst Solutions, Inc.",ATHR,Technology,,CSE Composite,CAD,11-Apr-19,"https://thecse.com/en/listings/technology/aether-catalyst-solutions,-inc",
14,Affinor Growers Inc.,AFI,Life Sciences,Cannabis,,CAD,01-Sep-15,https://thecse.com/en/listings/life-sciences/affinor-growers-inc,"
	Affinor is focused on the design, development and commercialization of vertical farming technology for both indoor and outdoor (greenhouse) applications. The team is currently working on demand crops such as romaine lettuce and strawberries by developing processes, methods and models to cultivate true perpetual crops at competitive pricing. It is the mission of Affinor to be the world-wide technology and market leader in creating and commercializing the most economical vertical farming technologies that use the least possible resources (eg. land, water, and energy resources) to produce the highest quality pesticide-free produce year-round, regardless of environmental conditions. Affinor’s patent technology and licensed patent pending technology positions the Company well in the vertical farming industry. It is the only vertically integrated technology that can offer patented inline automated pollination for fruiting crops. Affinor can offer software driven growing solutions automating high quality, scientifically engineered products and process."
15,AgraFlora Organics International Inc,AGRA,Life Sciences,Cannabis,CSE Composite,CAD,01-Sep-15,https://thecse.com/en/listings/life-sciences/agraflora-organics-international-inc,"AgraFlora Organics International Inc. has an experienced management team with a growth strategy to develop a diversified portfolio of projects that can be taken into production. The Company’s main objective is to add shareholder value through cost efficient acquisitions, joint ventures, and effective marketing while maintaining a lower risk profile through project diversification and sound financial management."
