,Halts,Listing
0,"Aug 21, 2020IIROC Trading Halt - FOG",FOG
1,"Aug 21, 2020IIROC Trading Resumption - HANS",HANS
2,"Aug 21, 2020IIROC Trading Resumption - NOC",NOC
3,"Aug 21, 2020IIROC Trading Halt - QRO",QRO
4,"Aug 21, 2020IIROC Trading Resumption - GPV",GPV
5,"Aug 21, 2020IIROC Trading Halt - GPV",GPV
6,"Aug 21, 2020IIROC Trading Halt - TCF",TCF
7,"Aug 21, 2020IIROC Trading Halt - SX",SX
8,"Aug 21, 2020IIROC Trade Resumption - HITI",HITI
9,"Aug 21, 2020IIROC Trading Resumption - META",META
10,"Aug 21, 2020IIROC Trade Resumption - PLTH",PLTH
11,"Aug 21, 2020IIROC Trade Resumption - VPH",VPH
12,"Aug 21, 2020IIROC Trade Resumption - RWB",RWB
13,"Aug 21, 2020IIROC Trading Halt - CAPT",CAPT
14,"Aug 21, 2020IIROC Trading Halt - META",META
15,"Aug 21, 2020IIROC Trading Halt - HITI",HITI
16,"Aug 21, 2020IIROC Trading Halt - OTSO",OTSO
17,"Aug 20, 2020IIROC Trading Resumption - VAL.P",VAL.P
18,"Aug 20, 2020IIROC Trading Halt - VPH",VPH
19,"Aug 20, 2020IIROC Trading Halt - PLTH",PLTH
20,"Aug 20, 2020IIROC Trading Resumption - KMT",KMT
21,"Aug 20, 2020IIROC Trade Resumption - SONA",SONA
22,"Aug 20, 2020IIROC Trading Halt - SONA",SONA
23,"Aug 20, 2020IIROC Trading Resumption - ATY",ATY
24,"Aug 20, 2020IIROC Trade Resumption - SONA",SONA
