,Ex.,Name,Ticker,QMV($),HQ Region,HQ Location,Sector,Sub Sector,description
0,TSXV,01 Communique Laboratory Inc.,ONE,3992628.42,Canada,ON,Technology,Software,"01 Communique Laboratory Inc focuses on cybersecurity with its IronCAP patent-pending cryptographic system, which operates on conventional computer systems and is designed to protect users and enterprises against the ever-evolving illegitimate and malicious means of gaining access to their data not only today but also in the future as quantum computers appear. Based on improved code-based encryption it is designed to be faster and more secure than current standards. As well, the company's legacy business provides customers with secure remote access marketed under its I'm InTouch, I'm OnCall and I'm InTouch Meeting suite of services and products protected by patents."
1,TSXV,3D Signatures Inc.,DXD,22019383.74,Canada,MB,Life Sciences,Biotechnology,
2,TSXV,3TL Technologies Corp.,TTM,4264856.82,Canada,BC,Technology,Software,
3,TSXV,49 North Resources Inc.,FNR,4699170.08,Canada,SK,Financial Services,,"49 North Resources Inc is a resource investment, financial, and managerial advisory company. Principally, it is engaged in the business of investing in a diversified portfolio of common shares and other securities of resource issuers. The company invests in assets mainly involved in the mineral such as potash, uranium, diamonds, coal, base and precious metals, and oil and gas exploration and development industry."
4,TSX,5Banc Split Inc.,FBS.B,39933224.74,Canada,ON,Closed-End Funds,,"Fabasoft AG is a software manufacturer and provider of cloud services for the digital control of documents as well as an electronic document, process, and record management. The software does ensure the consistent capture, organization, secure storage, and context-sensitive findings of all digital business documents as well as the media-neutral multi-channel publishing of digital contents. The company earns revenue from sales of software and services. Its business is classified under geographical segment that includes Austria, Germany, Switzerland, and Other countries."
5,TSX,5N Plus Inc.,VNP,210855379.2,Canada,QC,Clean Technology,Renewable Energy Equipment Manufacturing and Tech,"5N Plus Inc is a Canadian based company producing specialty metal and chemical products. The company operates in two segments Electronic Materials and Eco-Friendly Materials. The Electronic Materials segment manufactures and sells refined metals, compounds and alloys which are primarily used in a number of electronic applications. The Eco-Friendly Materials segment manufactures and sells refined bismuth and bismuth chemicals, low melting point alloys as well as refined selenium and selenium chemicals. The company operates manufacturing facilities and sales offices in Europe, America and Asia. It generates the majority of the revenue from Eco-Friendly Materials segment."
6,TSXV,88 Capital Corp.,EEC,1777147.6,Canada,BC,Mining,,Efficacious Elk Capital Corp is a capital pool company.
7,TSXV,92 Resources Corp.,NTY,5420594.76,Canada,BC,Mining,,
8,TSX,A&W Revenue Royalties Income Fund,AW.UN,425204623.7,Canada,BC,Diversified Industries,Consumer Products and Services,"A&W Revenue Royalties Income Fund is a limited purpose trust established to invest in A&W Trade Marks Inc, which through its ownership interest in A&W Trade Marks Limited Partnership owns the A&W trade-marks used in the A&W quick service restaurant business in Canada. The company has opened approximately 32 locations, bringing the total number of A&W restaurants to approximately 854, of which almost 845 are franchised and nine are owned and operated corporately. It has granted A&W Food Services of Canada Inc, a license to use the A&W trade-marks to market Root Beer in cans and bottles to the retail grocery trad as well as its acts as a franchisor of hamburger quick service restaurants in Canada."
9,TSXV,A2 Acquisition Corp.,APD.P,500000.0,Canada,AB,CPC,,"Since its founding in 1940, Air Products has become one of the leading industrial gas suppliers globally, with operations in 50 countries and 19,000 employees. The company is the largest supplier of hydrogen and helium in the world. It has a unique portfolio serving customers in a number of industries, including chemicals, energy, healthcare, metals, and electronics. Air Products generated $8.9 billion in revenue in fiscal 2019."
10,TSXV,Abacus Mining & Exploration Corporation,AME,9637092.495,Canada,BC,Mining,,"Abacus Mining & Exploration Corp is an exploration stage company. The company is engaged in the acquisition, exploration, and development of mineral properties in Canada. Its projects portfolio includes AJAX CU-AU Project in South Central British Columbia, Canada; WILLOW CU-AU Property in Douglas County, Nevada, USA; and JERSEY VALLEY AU Property in Pershing County, Nevada, USA. The company has one operating segment, mineral exploration and development operations are in the United States."
11,TSXV,Abcourt Mines Inc.,ABI,18976350.26,Canada,QC,Mining,,"Abcourt Mines Inc is a gold producer and Canadian exploration company. It is engaged in the acquisition, exploration, evaluation and exploitation of mining properties located in Abititi, Canada, principally gold. The company has two operating segments, being the producing of a gold mine segment, and the acquisition, exploration and evaluation of mining properties. All of the company's activities are conducted in Canada, and generates the majority of the revenue from producing of a gold mine segment. It operates producing gold mine in Quebec, Canada."
